SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq1028,0,0,0,1,0,0,0,0,0,gi|922579334|gb|KT304073.1|,85.714,161,3.52E-37,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Microserica,[6]Microserica_sp._836957
seq1029,0,0,0,0,0,1,0,0,0,gi|1004606827|gb|KT225295.1|,89.937,159,2.68E-48,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Empididae,[5]Heleodromia,[6]Heleodromia_immaculata
seq1030,0,0,0,0,0,1,0,0,0,gi|193082163|gb|EU683083.1|,83.019,159,1.65E-30,"Bryocoris pteridis 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Bryocoris,[6]Bryocoris_pteridis
seq1031,0,0,1,0,0,0,0,0,0,gi|1134549940|gb|KY492257.1|,91.411,163,2.06E-54,N/A,[1]Arthropoda,[2]Insecta,[3]Neuroptera,[4]Osmylidae,[5]Osmylus,[6]Osmylus_atomatus
seq1034,0,0,1,0,0,0,0,0,0,gi|1244552645|gb|KX437730.1|,82.443,131,6.02E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aphrophoridae,[5]Clovia,[6]Clovia_sp._EMHAU-2015-Zz052918
seq1035,1,0,0,0,0,0,0,0,0,gi|109676560|gb|DQ648673.1|,84.906,159,1.64E-35,"Gimnomera dorsata 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Scathophagidae,[5]Gimnomera,[6]Gimnomera_dorsata
seq1036,0,0,0,0,0,0,0,1,0,gi|953966665|dbj|LC099205.1|,86.747,83,6.06E-15,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acrophyma,[6]Acrophyma_cumingii
seq1037,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,89.899,99,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq1038,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,89.308,159,1.25E-46,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq1039,0,0,0,0,0,1,0,0,0,gi|146198186|dbj|AB265404.1|,87.647,170,2.09E-44,"Psyra bluethgeni gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Psyra,[6]Psyra_bluethgeni
seq1041,0,0,1,0,0,0,0,0,0,gi|146198208|dbj|AB265426.1|,88.889,162,1.25E-46,"Operophtera relegata gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Operophtera,[6]Operophtera_relegata
seq1042,0,0,1,0,0,0,0,0,0,gi|1137646543|gb|KX781690.1|,93.168,161,9.51E-58,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Dolichopodidae,[5]Tachytrechus,[6]Tachytrechus_angustipennis
seq1043,0,0,0,0,0,1,0,0,0,gi|630602337|gb|KJ002982.1|,81.875,160,3.57E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Arcothymus,[6]Arcothymus_tristis
seq1044,0,0,0,0,0,1,0,0,0,gi|211922760|dbj|AB375488.1|,90.826,109,1.65E-30,"Actenicerus kiashianus mitochondrial gene for 16S ribosomal RNA, partial sequence, specimen_voucher: NUM:Ae02-000009",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Actenicerus,[6]Actenicerus_kiashianus
seq1045,0,0,0,0,0,1,0,0,0,gi|663337761|gb|KJ136724.1|,89.697,165,5.77E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Bibionidae,[5]Bibio,[6]Bibio_marci
seq1046,1,0,0,0,0,0,0,0,0,gi|321267237|gb|HQ333684.1|,83.851,161,3.54E-32,"Megapenthini sp. UPOL RK0014 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Megapenthini_sp._UPOL_RK0014,[6]Megapenthini_sp._UPOL_RK0014
seq1047,1,0,0,0,0,0,0,0,0,gi|955660763|emb|LN866560.1|,82.209,163,3.57E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Atactoglymma,[6]Atactoglymma_sp._1_MB-2015
seq1048,0,0,0,0,0,1,0,0,0,gi|1160418725|gb|KY369319.1|,100,132,4.40E-61,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Naididae,[5]Limnodrilus,[6]Limnodrilus_hoffmeisteri
seq1050,0,0,0,0,0,1,0,0,0,gi|109628848|gb|DQ538563.1|,81.208,149,1.29E-21,"Glypta fumiferanae 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Ichneumonidae,[5]Glypta,[6]Glypta_fumiferanae
seq1051,0,0,0,0,0,1,0,0,0,gi|1247175931|gb|KY039134.1|,86.335,161,1.63E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aphrophoridae,[5]Peuceptyelus,[6]Peuceptyelus_minutus
seq1053,0,0,0,0,1,0,0,0,0,gi|425869703|gb|KC177459.1|,82.099,162,3.57E-27,"Microchorista philpotti 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Mecoptera,[4]Nannochoristidae,[5]Nannochorista,[6]Nannochorista_philpotti
seq1054,1,0,0,0,0,0,0,0,0,gi|109628843|gb|DQ538558.1|,78.832,137,1.31E-11,"Campoletis sonorensis isolate 1 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Ichneumonidae,[5]Campoletis,[6]Campoletis_sonorensis
seq1055,1,0,0,0,0,0,0,0,0,gi|66270020|gb|DQ023060.1|,79.114,158,1.01E-17,"Cardiocondyla atalanta isolate atalanta3A 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Cardiocondyla,[6]Cardiocondyla_atalanta
seq1056,0,0,0,1,0,0,0,0,0,gi|158832191|dbj|AB363700.1|,89.209,139,7.57E-39,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq1057,0,0,0,0,1,0,0,0,0,gi|1176836677|gb|KX356495.1|,85.185,162,1.64E-35,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Derbidae,[5]Rhotana,[6]Rhotana_sp._I4
seq1059,0,0,0,0,0,0,0,1,0,gi|962094420|gb|KR903736.1|,84.375,96,6.06E-15,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Miogryllus,[6]Miogryllus_verticalis
seq1060,0,0,0,0,0,0,0,1,0,gi|27464011|gb|AF514587.1|,77.976,168,6.06E-15,"Comidogryllus sp. MCJ-2002 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Comidogryllus,[6]Comidogryllus_sp._MCJ-2002
seq1061,0,0,0,0,0,0,0,1,0,gi|962094420|gb|KR903736.1|,85.714,98,1.01E-17,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Miogryllus,[6]Miogryllus_verticalis
seq1062,0,0,0,0,0,0,0,1,0,gi|962094420|gb|KR903736.1|,84.694,98,4.68E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Miogryllus,[6]Miogryllus_verticalis
seq1063,0,0,0,0,0,0,0,0,1,gi|18462801|gb|AF386663.1|,81.944,144,2.78E-23,"Oncothrips tepperi 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Thysanoptera,[4]Phlaeothripidae,[5]Kladothrips,[6]Kladothrips_tepperi
seq1064,0,0,0,0,1,0,0,0,0,gi|321267272|gb|HQ333675.1|,84.375,160,2.12E-34,"Agriotes acuminatus voucher UPOL<CZE>:RK0003 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Agriotes,[6]Agriotes_acuminatus
seq1065,0,0,1,0,0,0,0,0,0,gi|296248687|gb|HM015957.1|,79.042,167,2.21E-19,"Pheidole metana voucher ALMHA6_71 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_metana
seq1067,0,0,0,1,0,0,0,0,0,gi|283484604|gb|GQ122065.1|,87.879,99,3.68E-22,"Evacanthus acuminatus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Evacanthus,[6]Evacanthus_acuminatus
seq1068,0,0,0,1,0,0,0,0,0,gi|1247175931|gb|KY039134.1|,85.246,122,1.70E-25,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aphrophoridae,[5]Peuceptyelus,[6]Peuceptyelus_minutus
seq1069,0,0,1,0,0,0,0,0,0,gi|45826294|gb|AY521268.1|,89.062,64,4.83E-11,"Siphoninus phillyreae cytochrome b (CYTB) gene, partial cds; tRNA-Ser, tRNA-Arg, and tRNA-Ala genes, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Gly gene, complete sequence; cytochrome oxidase subunit III (COIII) gene, complete cds; tRNA-Asn and tRNA-Gln genes, complete sequence; NADH dehydrogenase subunit 1 (ND1) gene, complete cds; and tRNA-Leu, large subunit ribosomal RNA, tRNA-Val, and small subunit ribosomal RNA genes, complete sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aleyrodidae,[5]Siphoninus,[6]Siphoninus_phillyreae
seq1071,0,0,0,0,0,1,0,0,0,gi|530798021|gb|JX870621.1|,93.836,146,2.73E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Liposcelidae,[5]Liposcelis,[6]Liposcelis_decolor
seq1073,0,0,1,0,0,0,0,0,0,gi|763550706|gb|KP133940.1|,86.164,159,2.79E-38,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Coccinellidae,[5]Scymnus,[6]Scymnus_sp._BYU_CO303
seq1074,0,0,1,0,0,0,0,0,0,gi|296248687|gb|HM015957.1|,79.641,167,4.76E-21,"Pheidole metana voucher ALMHA6_71 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_metana
seq1075,0,0,0,0,0,0,0,1,0,gi|390432800|gb|JN172633.1|,93.865,163,1.25E-61,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Scieroptera,[6]Scieroptera_splendidula
seq1076,0,0,0,1,0,0,0,0,0,gi|1145998949|gb|KY224643.1|,96.875,160,2.67E-68,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._E_TB-2017
seq1077,0,0,0,0,1,1,0,0,0,gi|962094465|gb|KR903781.1|,86.735,98,2.21E-19,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Trigonidium,[6]Trigonidium_sp._Van
seq1079,0,0,0,1,0,0,0,0,0,gi|146198189|dbj|AB265407.1|,89.571,163,2.12E-49,"Wilemania nitobei gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Wilemania,[6]Wilemania_nitobei
seq1080,0,0,0,1,0,0,0,0,0,gi|298683809|gb|HM132110.1|,84.049,163,2.81E-33,"Philipomyia graeca 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Tabanidae,[5]Philipomyia,[6]Philipomyia_graeca
seq1081,0,0,0,1,0,0,0,0,0,gi|401880622|gb|JX316220.1|,86.145,166,2.79E-38,"Spodoptera exigua mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Spodoptera,[6]Spodoptera_exigua
seq1083,0,0,0,0,0,1,0,0,0,gi|651237883|gb|KJ144850.1|,88.889,144,1.66E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Staphylinidae,[5]Stenus,[6]Stenus_impressus
seq1084,1,0,0,0,0,0,0,0,0,gi|296124722|gb|GU569216.1|,83.108,148,1.70E-25,"Dypsocus coleoptratus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Caeciliusidae,[5]Dypsocus,[6]Dypsocus_coleoptratus
seq1085,0,0,1,0,0,0,0,0,0,gi|27463922|gb|AF514498.1|,88.05,159,7.69E-44,"Japanese Meconematinae MCJ-2002 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Japanese_Meconematinae_sp._MCJ-2002,[6]Japanese_Meconematinae_sp._MCJ-2002
seq1087,0,0,0,0,0,0,0,1,0,gi|390432800|gb|JN172633.1|,93.151,73,6.16E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Scieroptera,[6]Scieroptera_splendidula
seq1088,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,84.076,157,1.31E-31,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq1089,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,91.566,83,1.32E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq1090,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,87.975,158,2.77E-43,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq1092,0,0,0,0,0,1,0,0,0,gi|239736534|gb|GQ118283.1|,84.211,152,1.69E-30,"Baetis tricaudatus voucher BYU:IGCEP011 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Ephemeroptera,[4]Baetidae,[5]Baetis,[6]Baetis_tricaudatus
seq1093,0,0,1,0,0,0,0,0,0,gi|820722331|gb|KR080490.1|,82.927,164,1.69E-30,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Crambidae,[5]Loxostege,[6]Loxostege_sticticalis
seq1094,0,0,1,0,0,0,0,0,0,gi|319740814|gb|GU947385.1|,84.277,159,2.81E-33,"Chloromyia formosa 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Stratiomyidae,[5]Chloromyia,[6]Chloromyia_formosa
seq1096,0,0,0,0,1,0,0,0,0,gi|924434789|gb|KP081940.1|,86.782,174,3.58E-42,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Spilosomina,[6]Spilosomina_sp._M5
seq1098,0,0,0,1,0,0,0,0,0,gi|764697711|gb|KM978382.1|,93.333,75,1.71E-20,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Paronellidae,[5]Callyntrura,[6]Callyntrura_guangdongensis
seq1099,0,0,0,0,0,1,0,0,0,gi|162414775|gb|EF487820.1|,89.441,161,9.88E-48,"Oxyomus sylvestris 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Oxyomus,[6]Oxyomus_sylvestris
seq1100,0,0,0,0,1,0,0,0,0,gi|1096115027|dbj|LC091317.1|,93.038,158,4.53E-56,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Melanotus,[6]Melanotus_okinawensis
seq1101,1,0,0,0,0,0,0,0,0,gi|159024928|emb|AJ831739.1|,80.537,149,2.21E-19,"Zygaena trifolii diffusemarginata mitochondrial tRNA-Leu (CUN) gene, 16S rRNA gene and tRNA-Val (GUN) gene, specimen voucher Z005451",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Zygaenidae,[5]Zygaena,[6]Zygaena_trifolii
seq1102,1,0,0,0,0,0,0,0,0,gi|89994142|emb|AM160794.1|,83.333,162,6.07E-30,"Calligrapha alnicola mitochondrial partial 16S rRNA gene, isolate 1",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Calligrapha,[6]Calligrapha_alnicola
seq1103,1,0,0,0,0,0,0,0,0,gi|742797821|emb|LN607806.1|,78.912,147,4.79E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Myrmica,[6]Myrmica_scabrinodis
seq1104,0,0,0,0,0,0,0,1,0,gi|296248682|gb|HM015952.1|,80.342,117,3.73E-12,"Pheidole gilva voucher KTRW2603711 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_gilva
seq1105,0,0,0,1,0,0,0,0,0,gi|817597677|gb|KP973953.1|,94.512,164,9.67E-63,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Callimorpha,[6]Callimorpha_dominula
seq1106,0,0,0,0,1,0,0,0,0,gi|1145999359|gb|KY224673.1|,100,163,2.63E-78,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Microtermes,[6]Microtermes_sp._1_TB-2017
seq1107,0,0,0,0,1,0,0,0,0,gi|296124714|gb|GU569208.1|,96.503,143,7.53E-59,"Kolbia fusconervosa 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Amphipsocidae,[5]Kolbia,[6]Kolbia_fusconervosa
seq1108,1,0,0,0,0,0,0,0,0,gi|146198189|dbj|AB265407.1|,89.024,164,9.88E-48,"Wilemania nitobei gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Wilemania,[6]Wilemania_nitobei
seq1112,0,0,0,1,0,0,0,0,0,gi|1201333492|gb|KY887905.1|,79.592,147,1.33E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Pteromalidae,[5]Pachyneuron,[6]Pachyneuron_formosum
seq1113,0,0,0,1,0,0,0,0,0,gi|211922770|dbj|AB375498.1|,91.667,144,3.55E-47,"Corymbitodes gratus mitochondrial gene for 16S ribosomal RNA, partial sequence, specimen_voucher: NUM:Ae02-000011",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Corymbitodes,[6]Corymbitodes_gratus
seq1115,1,0,0,0,0,0,0,0,0,gi|296248689|gb|HM015959.1|,79.63,162,6.16E-20,"Pheidole nr. nitella MDS-2010 voucher ALMCH3_21 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_nr._nitella_MDS-2010
seq1118,0,0,1,0,0,0,0,0,0,gi|1373440711|gb|MG489916.1|,85.616,146,1.31E-31,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Liviidae,[5]Diaphorina,[6]Diaphorina_citri
seq1119,0,0,1,0,0,0,0,0,0,gi|694176946|dbj|AB856938.1|,87.075,147,1.30E-36,N/A,[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Caeciliusidae,[5]Caeciliusidae_gen._sp._KY382,[6]Caeciliusidae_gen._sp._KY382
seq1121,0,0,1,0,0,0,0,0,0,gi|302746929|gb|GU194564.1|,91.195,159,3.53E-52,"Lygocoris pabulinus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Lygocoris,[6]Lygocoris_pabulinus
seq1122,0,0,0,0,0,0,0,1,0,gi|66270010|gb|DQ023050.1|,78.205,156,2.23E-14,"Cardiocondyla minutior isolate minutior23A 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Cardiocondyla,[6]Cardiocondyla_minutior
seq1127,0,0,0,0,1,0,0,0,0,gi|310618986|gb|HQ178346.1|,84.906,159,2.81E-33,"Spodoptera ochrea voucher SPO-B84 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Spodoptera,[6]Spodoptera_ochrea
seq1128,0,0,0,0,1,0,0,0,0,gi|817597677|gb|KP973953.1|,87.037,162,4.63E-41,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Callimorpha,[6]Callimorpha_dominula
seq1129,0,0,0,0,1,0,0,0,0,gi|109628857|gb|DQ538572.1|,85.106,141,2.10E-29,"Sinophorus townesorum isolate 1 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Ichneumonidae,[5]Sinophorus,[6]Sinophorus_townesorum
seq1130,0,0,0,0,1,0,0,0,0,gi|158832191|dbj|AB363700.1|,94.161,137,1.58E-50,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq1131,0,0,0,1,1,0,0,0,0,gi|12002711|gb|AF158031.1|AF158031,83.333,162,1.62E-30,"Cixius circulus 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cixiidae,[5]Cixius,[6]Cixius_circulus
seq1132,0,0,1,0,0,0,0,0,0,gi|157779166|gb|EU005431.1|,89.308,159,9.50E-48,"Libnotes orofenaae voucher O'Grady 202034 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Limoniidae,[5]Libnotes,[6]Libnotes_orofenaae
seq1134,0,0,1,0,0,0,0,0,0,gi|602624639|gb|KF591906.1|,95.775,142,4.36E-56,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Tomoceridae,[5]Tomocerus,[6]Tomocerus_ocreatus
seq1135,0,0,0,0,0,0,0,1,0,gi|395757488|gb|JN377605.1|,85.455,165,3.46E-37,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Kosemia,[6]Kosemia_admirabilis
seq1136,0,0,0,1,0,0,0,0,0,gi|422899271|gb|JQ613887.1|,92.638,163,3.37E-57,"Pseudolycoriella horribilis voucher 74 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Sciaridae,[5]Pseudolycoriella,[6]Pseudolycoriella_horribilis
seq1141,0,0,1,0,0,0,0,0,0,gi|765098563|dbj|AB918940.1|,79.747,158,1.65E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Troctopsocidae,[5]Thaipsocus,[6]Thaipsocus_sp._KY258
seq1142,0,0,1,0,0,0,0,0,0,gi|1023973218|gb|KU949136.1|,84.375,160,7.50E-34,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Sciaridae,[5]Ctenosciara,[6]Ctenosciara_lutea
seq1143,0,0,0,0,0,1,0,0,0,gi|402314434|gb|JN828202.1|,89.308,159,3.42E-47,"Colobaea bifasciella voucher MU_NUS_SG3 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Sciomyzidae,[5]Colobaea,[6]Colobaea_bifasciella
seq1145,0,0,1,0,0,0,0,0,0,gi|829098514|gb|KT003160.1|,86.331,139,1.25E-31,N/A,[1]Arthropoda,[2]Arachnida,[3]Araneae,[4]Linyphiidae,[5]Parawubanoides,[6]Parawubanoides_unicornis
seq1146,0,0,0,0,0,0,0,1,0,gi|298578755|gb|GQ258360.1|,86.364,88,5.96E-15,"Anthocoris japonicus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Anthocoridae,[5]Anthocoris,[6]Anthocoris_japonicus
seq1147,0,0,0,0,0,0,0,1,0,gi|1384965901|gb|MF286846.1|,88.125,160,2.06E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Ectobiidae,[5]Hemithyrsocera,[6]Hemithyrsocera_banvaneuensis
seq1149,0,0,1,0,0,0,0,0,0,gi|549465910|gb|KC992640.1|,86.335,161,5.76E-40,"Agraphydrus sp. SLE0252 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Hydrophilidae,[5]Agraphydrus,[6]Agraphydrus_sp._SLE0252
seq1150,0,0,0,0,0,0,0,1,0,gi|189547851|dbj|AB371035.1|,80,135,2.14E-14,"Lasius umbratus mitochondrial gene for 16S ribosomal RNA, partial sequence, specimen_voucher: NSMT:MMANT:a6",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Lasius,[6]Lasius_umbratus
seq1153,0,0,0,0,0,1,0,0,0,gi|422899269|gb|JQ613885.1|,84.127,126,9.84E-23,"Lycoriella flavicornis voucher 62 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Sciaridae,[5]Lycoriella,[6]Lycoriella_flavicornis
seq1154,0,0,0,0,1,0,0,0,0,gi|1382351737|gb|MF162935.1|,80.368,163,9.84E-23,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Japanagallia,[6]Japanagallia_neohamata
seq1155,1,0,0,0,0,0,0,0,0,gi|126678897|gb|EF363277.1|,98.734,158,1.19E-71,"Periplaneta americana voucher G23 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Blattidae,[5]Periplaneta,[6]Periplaneta_americana
seq1156,1,0,0,0,0,0,0,0,0,gi|1248843112|gb|KY039118.1|,79.874,159,1.65E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Membracidae,[5]Tricentrus,[6]Tricentrus_sp._EMHAU-15062504
seq1157,0,0,0,0,0,0,0,1,0,gi|1145997543|gb|KY224541.1|,90.062,161,5.68E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Sinocapritermes,[6]Sinocapritermes_sp._1_TB-2017
